DOH_Reg_Office,Fac_County,Fac_ID,Fac_Type,Fac_Name,Week_End_Report_Date,Week_End_Report_Count,Confirmed_In_Facility,Confirmed_Out_Of_Facility,Presumed_In_Facility
Western Regional Office - Buffalo,ERIE,000252,NH,ST CATHERINE LABOURE HEALTH CARE CENTER,04/28/2020,2,2,0,0
Metropolitan Area Regional Office - New York City,BRONX,020-E-133,OACF,ST. VINCENT DE PAUL ASSISTED LIVING PROGRAM,04/28/2020,2,0,3,0
Metropolitan Area Regional Office - New York City,KINGS,331-E-030,OACF,NORWEGIAN CHRISTIAN HOME AND HEALTH CARE CENTER,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,331-F-276,OACF,MERMAID MANOR HOME FOR ADULTS,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,020-E-004,OACF,BRONXWOOD,04/28/2020,2,0,21,0
Metropolitan Area Regional Office - New York City,KINGS,331-F-278,OACF,BROOKLYN ADULT CARE CENTER,04/28/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,KINGS,331-F-270,OACF,OCEANVIEW MANOR HOME FOR ADULTS,04/28/2020,3,0,3,0
Metropolitan Area Regional Office - New York City,BRONX,020-F-131,OACF,PARKVIEW HOME FOR ADULTS,04/28/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,KINGS,331-F-290,OACF,BROOKLYN TERRACE,04/28/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,KINGS,331-F-281,OACF,KINGS ADULT CARE CENTER,04/28/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,QUEENS,590-F-328,OACF,LONG ISLAND LIVING CENTER,04/28/2020,5,0,7,0
Metropolitan Area Regional Office - New York City,QUEENS,590-F-320,OACF,"MADISON YORK ASSISTED LIVING COMMUNITY, LLC",04/28/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-320,OACF,THE GLEN AT MAPLE POINTE,04/28/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,QUEENS,590-F-309,OACF,QUEENS ADULT CARE CENTER,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,590-F-311,OACF,"NEW HOMESTEAD HOME FOR ADULTS, INC.",04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,590-F-319,OACF,ELM YORK HOME FOR ADULTS,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,590-F-142,OACF,SANFORD HOME,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,590-S-307,OACF,CASTLE SENIOR LIVING AT FOREST HILLS,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-315,OACF,THE BRISTAL AT MASSAPEQUA,04/28/2020,3,0,3,0
Metropolitan Area Regional Office - New York City,RICHMOND,610-F-067,OACF,NEW BROADVIEW HOME FOR ADULTS,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,NEW YORK,420-S-272,OACF,NY FOUND-SR CITIZENS EHP#2 BROWN GARDENS,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-E-295,OACF,ISLAND ASSISTED LIVING,04/28/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,QUEENS,590-S-313,OACF,ATRIA FOREST HILLS,04/28/2020,3,0,3,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-S-304,OACF,THE BRISTAL AT NORTH WOODMERE,04/28/2020,3,0,2,0
Metropolitan Area Regional Office - New York City,NEW YORK,420-S-381,OACF,ALMA RANGEL GARDENS NY FOUNDATION EHP#7,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-S-318,OACF,SOMERSET GARDENS,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-S-328,OACF,ATRIA CUTTER MILL,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-329,OACF,ATRIA PLAINVIEW,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,540-F-026,OACF,NEW WINDSOR COUNTRY INN,04/28/2020,1,0,8,0
Metropolitan Area Regional Office - New York City,QUEENS,590-S-317,OACF,BOULEVARD ALP,04/28/2020,1,0,2,0
Metropolitan Area Regional Office - New York City,NEW YORK,420-S-387,OACF,CARNEGIE EAST HOUSE,04/28/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,370-F-212,OACF,ATRIA PENFIELD,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,590-F-322,OACF,"CENTRAL ASSISTED LIVING, LLC",04/28/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-131,OACF,BABYLON BEACH HOUSE HOME FOR ADULTS,04/28/2020,1,2,1,6
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-929,OACF,ATRIA EAST NORTHPORT,04/28/2020,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-F-087,OACF,TAPPAN ZEE MANOR,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-051,OACF,MCPEAK'S ADULT HOME,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-F-091,OACF,THE NEW GOLDEN ACRES SP LLC,04/28/2020,2,0,3,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-011,OACF,"THE ELIOT AT NEW ROCHELLE, LLC",04/28/2020,3,0,3,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-990,OACF,WESTCHESTER CENTER FOR INDEPENDENT AND ASSISTED LIVING,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-905,OACF,WOODHAVEN HOME FOR ADULTS,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-F-052,OACF,NEW MONSEY PARK HOME,04/28/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ROCKLAND,620-F-085,AL,PROMENADE AT BLUE HILL,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-313,AL,THE BRISTAL AT WEST BABYLON,05/05/2020,2,0,3,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-287,AL,DOMINICAN VILLAGE ENRICHED HOUSING PROGRAM 1,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-913,AL,THE ARBORS AT BOHEMIA,05/05/2020,3,0,5,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-302,AL,THE BRISTAL AT SAYVILLE,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-941,AL,VILLAGE WALK A CARLISLE ASSISTED LIVING COMMUNITY,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-125,AL,MEADOWVIEW AT THE WARTBURG,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-E-288,AL,GURWIN JEWISH FAY J. LINDNER RESIDENCE,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-134,AL,YORKTOWN ASSISTED LIVING RESIDENCE,05/05/2020,2,0,2,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-981,AL,THE FOUNTAINS AT RIVERVUE,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-151,AL,THE BRISTAL AT ARMONK,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-289,AL,GURWIN JEWISH FAY J. LINDNER RESIDENCE,05/05/2020,1,0,2,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-F-923,AL,SUNRISE OF DIX HILLS,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-F-988,AL,THE KENSINGTON,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,SUFFOLK,700-S-303,AL,THE BRISTAL AT EAST NORTHPORT,05/05/2020,2,0,3,0
Metropolitan Area Regional Office - New Rochelle,WESTCHESTER,800-S-134,AL,KENDAL ON HUDSON,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-335,AL,THE BRISTAL AT LYNBROOK,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-328,AL,SUNRISE OF NORTH LYNBROOK,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-327,AL,SUNRISE OF GLEN COVE,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,ORANGE,540-F-028,AL,THE ELIOT AT ERIE STATION ALP,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,RICHMOND,610-F-066,AL,"MARINERS RESIDENCE, INC.",05/05/2020,2,0,2,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-S-299,AL,THE BRISTAL AT EAST MEADOW,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-337,AL,THE BRISTAL AT LAKE SUCCESS,05/05/2020,3,1,2,0
Metropolitan Area Regional Office - New York City,QUEENS,590-S-315,AL,ATRIA KEW GARDENS,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,400-F-305,AL,HARBOR HOUSE,05/05/2020,2,2,0,0
Metropolitan Area Regional Office - New York City,KINGS,331-F-272,AL,THE WATERFORD ON THE BAY,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,020-S-001,AL,ATRIA RIVERDALE,05/05/2020,1,0,1,0
Western Regional Office - Buffalo,ERIE,240-F-133,AL,BROMPTON HEIGHTS,05/05/2020,2,1,1,0
Metropolitan Area Regional Office - New York City,KINGS,331-S-012,AL,SUNRISE AT SHEEPSHEAD BAY,05/05/2020,1,1,0,0
Central New York Regional Office,BROOME,030-E-008,AL,HILLTOP MANOR WEST,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001399,NH,SHORE VIEW NURSING & REHABILITATION CENTER,05/05/2020,2,2,0,0
Metropolitan Area Regional Office - New York City,BRONX,001224,NH,SCHERVIER NURSING CARE CENTER,05/05/2020,1,0,0,1
Western Regional Office - Buffalo,ERIE,000266,NH,"SAFIRE REHABILITATION OF NORTHTOWNS, LLC",05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,007279,NH,DR SUSAN SMITH MCKINNEY NURSING AND REHABILITATION CENTER,05/05/2020,3,0,3,0
Metropolitan Area Regional Office - New York City,BRONX,001216,NH,"PROVIDENCE REST, INC.",05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001250,NH,KINGS HARBOR MULTICARE CENTER,05/05/2020,2,3,0,0
Metropolitan Area Regional Office - New York City,BRONX,004887,NH,BRONX GARDENS REHABILITATION AND NURSING CENTER,05/05/2020,4,1,1,1
Metropolitan Area Regional Office - New York City,KINGS,004285,NH,HAMILTON PARK NURSING AND REHABILITATION CENTER,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001316,NH,"RUTLAND NURSING HOME, INC.",05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001376,NH,SCHULMAN AND SCHACHNE INSTITUTE FOR NURSING AND REHABILITATION,05/05/2020,3,3,0,0
Metropolitan Area Regional Office - New York City,KINGS,001404,NH,CONCORD NURSING AND REHABILITATION CENTER,05/05/2020,1,1,1,0
Metropolitan Area Regional Office - New York City,KINGS,001381,NH,"COBBLE HILL HEALTH CENTER, INC",05/05/2020,3,3,0,0
Metropolitan Area Regional Office - New York City,KINGS,002539,NH,MENORAH HOME & HOSPITAL FOR AGED & INFIRM,05/05/2020,6,1,4,6
Metropolitan Area Regional Office - New York City,BRONX,004543,NH,ST VINCENT DEPAUL RESIDENCE,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001405,NH,THE PHOENIX REHABILITATION AND NURSING CENTER,05/05/2020,6,3,0,7
Metropolitan Area Regional Office - New York City,BRONX,001249,NH,TRIBORO CENTER FOR REHABILITATION AND NURSING,05/05/2020,4,2,4,0
Metropolitan Area Regional Office - New York City,KINGS,001401,NH,SEA CREST NURSING AND REHABILITATION CENTER,05/05/2020,5,4,1,0
Metropolitan Area Regional Office - New York City,KINGS,001391,NH,OXFORD NURSING HOME,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,000277,NH,BROOKLYN-QUEENS NURSING HOME,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001225,NH,THE PLAZA REHAB AND NURSING CENTER,05/05/2020,4,3,1,2
Metropolitan Area Regional Office - New York City,BRONX,001221,NH,METHODIST HOME FOR NURSING AND REHABILITATION,05/05/2020,2,2,0,0
Capital District Regional Office,ALBANY,000022,NH,DAUGHTERS OF SARAH NURSING CENTER,05/05/2020,1,1,0,0
Central New York Regional Office,BROOME,009514,NH,VESTAL PARK REHABILITATION AND NURSING CENTER,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001374,NH,NORWEGIAN CHRISTIAN HOME AND HEALTH CENTER,05/05/2020,1,0,2,0
Metropolitan Area Regional Office - New York City,KINGS,001379,NH,"NEW CARLTON REHAB AND NURSING CENTER, LLC",05/05/2020,2,1,1,0
Metropolitan Area Regional Office - New York City,KINGS,001409,NH,BEDFORD CENTER FOR NURSING AND REHABILITATION,05/05/2020,4,2,0,1
Metropolitan Area Regional Office - New York City,BRONX,001219,NH,WORKMEN'S CIRCLE MULTICARE CENTER,05/05/2020,3,2,1,0
Western Regional Office - Rochester,LIVINGSTON,000387,NH,"AVON NURSING HOME, LLC",05/05/2020,1,1,0,0
Capital District Regional Office,ALBANY,000023,NH,TERESIAN HOUSE NURSING HOME CO INC,05/05/2020,6,10,2,0
Metropolitan Area Regional Office - New York City,KINGS,005546,NH,HOPKINS CENTER FOR REHABILITATION AND HEALTHCARE,05/05/2020,2,0,3,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,006237,NH,WINGATE AT BEACON,05/05/2020,4,6,0,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,000186,NH,THE PINES AT POUGHKEEPSIE CENTER FOR NURSING & REHABILITATION,05/05/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,KINGS,001368,NH,BROOKLYN UNITED METHODIST CHURCH HOME,05/05/2020,1,0,0,1
Metropolitan Area Regional Office - New York City,BRONX,003993,NH,MANHATTANVILLE HEALTH CARE CENTER,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001361,NH,HAYM SOLOMON HOME FOR THE AGED,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,000194,NH,FERNCLIFF NURSING HOME CO INC,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001235,NH,MORRIS PARK REHABILITATION AND NURSING CENTER,05/05/2020,4,1,0,3
Capital District Regional Office,COLUMBIA,000152,NH,PINE HAVEN HOME,05/05/2020,2,0,1,1
Western Regional Office - Buffalo,ERIE,000244,NH,HUMBOLDT HOUSE REHABILITATION AND NURSING CENTER,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001252,NH,MORNINGSIDE NURSING AND REHABILITATION CENTER,05/05/2020,2,0,3,0
Metropolitan Area Regional Office - New York City,BRONX,001226,NH,GOLD CREST CARE CENTER,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,001241,NH,RIVERDALE NURSING HOME,05/05/2020,3,1,2,0
Metropolitan Area Regional Office - New York City,BRONX,001227,NH,BAINBRIDGE NURSING & REHABILITATION CENTER,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,004501,NH,BRONXCARE SPECIAL CARE CENTER,05/05/2020,3,1,3,0
Capital District Regional Office,ALBANY,004755,NH,OUR LADY OF MERCY LIFE CENTER,05/05/2020,4,6,0,0
Metropolitan Area Regional Office - New York City,KINGS,001398,NH,SHEEPSHEAD NURSING & REHABILITATION CENTER,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,KINGS,001380,NH,"CATON PARK REHABILITATION AND NURSING CENTER, LLC",05/05/2020,2,2,0,0
Capital District Regional Office,GREENE,000349,NH,THE PINES AT CATSKILL CENTER FOR NURSING & REHABILITATION,05/05/2020,3,2,1,0
Metropolitan Area Regional Office - New York City,BRONX,000856,NH,GRAND MANOR NURSING & REHABILITATION CENTER,05/05/2020,2,1,1,0
Metropolitan Area Regional Office - New York City,BRONX,001245,NH,PELHAM PARKWAY NURSING CARE AND REHABILITATION FACILITY LLC,05/05/2020,2,0,2,0
Western Regional Office - Buffalo,ERIE,000300,NH,SENECA HEALTH CARE CENTER,05/05/2020,3,3,0,0
Capital District Regional Office,ALBANY,000030,NH,SHAKER PLACE REHABILITATION AND NURSING CENTER,05/05/2020,2,1,2,0
Metropolitan Area Regional Office - New York City,BRONX,001231,NH,EASTCHESTER REHABILITATION AND HEALTH CARE CENTER,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,BRONX,001212,NH,HEBREW HOME FOR THE AGED AT RIVERDALE,05/05/2020,3,2,2,1
Metropolitan Area Regional Office - New York City,BRONX,001277,NH,EAST HAVEN NURSING & REHABILITATION CENTER,05/05/2020,1,0,1,1
Capital District Regional Office,FULTON,000337,NH,FULTON CENTER FOR REHABILITATION AND HEALTHCARE,05/05/2020,2,2,1,0
Metropolitan Area Regional Office - New York City,BRONX,001234,NH,THE CITADEL REHAB AND NURSING CENTER AT KINGSBRIDGE,05/05/2020,4,3,0,2
Western Regional Office - Buffalo,ERIE,003012,NH,BUFFALO CENTER FOR REHABILITATION AND NURSING,05/05/2020,2,1,1,0
Western Regional Office - Buffalo,ERIE,001739,NH,TERRACE VIEW LONG TERM CARE FACILITY,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New Rochelle,DUTCHESS,000189,NH,THE GRAND REHABILITATION AND NURSING AT PAWLING,05/05/2020,3,1,2,0
Western Regional Office - Buffalo,ERIE,000294,NH,GARDEN GATE HEALTH CARE FACILITY,05/05/2020,3,2,1,0
Metropolitan Area Regional Office - New York City,KINGS,004037,NH,BUSHWICK CENTER FOR REHABILITATION AND HEALTH CARE,05/05/2020,2,2,0,0
Western Regional Office - Buffalo,ERIE,000254,NH,ELLICOTT CENTER FOR REHABILITATION AND NURSING,05/05/2020,3,1,3,0
Metropolitan Area Regional Office - New York City,BRONX,001242,NH,REGEIS CARE CENTER,05/05/2020,3,1,3,0
Metropolitan Area Regional Office - New York City,KINGS,001430,NH,ATRIUM CENTER FOR REHABILITATION AND NURSING,05/05/2020,2,0,1,1
Metropolitan Area Regional Office - New York City,KINGS,001395,NH,BROOKLYN CENTER FOR REHABILITATION AND RESIDENTIAL HEALTH CARE,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001406,NH,BENSONHURST CENTER FOR REHABILITATION AND HEALTHCARE,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001260,NH,PINNACLE MULTICARE NURSING AND REHABILITATION CENTER,05/05/2020,2,1,1,0
Western Regional Office - Buffalo,ERIE,003455,NH,"HARRIS HILL NURSING FACILITY, LLC",05/05/2020,3,4,1,0
Metropolitan Area Regional Office - New York City,BRONX,001232,NH,HUDSON POINTE AT RIVERDALE CENTER FOR NURSING AND REHABILITATION,05/05/2020,2,0,0,1
Western Regional Office - Buffalo,ERIE,000282,NH,FIDDLERS GREEN MANOR REHABILITATION AND NURSING CENTER,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,007665,NH,LINDEN CENTER FOR NURSING AND REHABILITATION,05/05/2020,1,0,0,1
Western Regional Office - Buffalo,ERIE,000272,NH,ELDERWOOD AT LANCASTER,05/05/2020,1,1,0,0
Western Regional Office - Buffalo,ERIE,000288,NH,BEECHWOOD HOMES,05/05/2020,3,4,0,0
Western Regional Office - Buffalo,ERIE,000278,NH,"ABSOLUT CENTER FOR NURSING AND REHABILITATION AT AURORA PARK, LLC",05/05/2020,6,7,3,0
Capital District Regional Office,ALBANY,000033,NH,THE GRAND REHABILITATION AND NURSING AT GUILDERLAND,05/05/2020,3,1,4,0
Metropolitan Area Regional Office - New York City,KINGS,001408,NH,DOWNTOWN BROOKLYN NURSING & REHABILITATION CENTER,05/05/2020,3,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001373,NH,SEAGATE REHABILITATION AND NURSING CENTER,05/05/2020,2,0,0,3
Metropolitan Area Regional Office - New York City,BRONX,001218,NH,BETH ABRAHAM CENTER FOR REHABILITATION AND NURSING,05/05/2020,3,1,2,0
Metropolitan Area Regional Office - New York City,KINGS,001400,NH,SPRING CREEK REHABILITATION & NURSING CARE CENTER,05/05/2020,2,0,1,1
Central New York Regional Office,BROOME,000060,NH,"SUSQUEHANNA NURSING & REHABILITATION CENTER, LLC",05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,KINGS,001403,NH,BORO PARK CENTER FOR REHABILITATION AND HEALTHCARE,05/05/2020,4,1,4,0
Western Regional Office - Buffalo,ERIE,004898,NH,FATHER BAKER MANOR,05/05/2020,6,8,1,0
Western Regional Office - Buffalo,ERIE,004772,NH,ROSA COPLON JEWISH HOME AND INFIRMARY,05/05/2020,4,4,0,0
Metropolitan Area Regional Office - New York City,KINGS,006248,NH,BUENA VIDA CONTINUING CARE & REHAB CENTER,05/05/2020,2,0,2,2
Metropolitan Area Regional Office - New York City,KINGS,001364,NH,KING DAVID CENTER FOR NURSING AND REHABILITATION,05/05/2020,2,1,0,1
Metropolitan Area Regional Office - New York City,BRONX,001238,NH,PARK GARDENS REHABILITATION & NURSING CENTER LLC,05/05/2020,2,1,0,0
Metropolitan Area Regional Office - New York City,BRONX,001223,NH,REBEKAH REHAB AND EXTENDED CARE CENTER,05/05/2020,3,0,3,1
Metropolitan Area Regional Office - New York City,QUEENS,005904,NH,QUEENS BOULEVARD EXTENDED CARE FACILITY,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,001709,NH,CYPRESS GARDEN CENTER FOR NURSING AND REHABILITATION,05/05/2020,2,2,0,0
Metropolitan Area Regional Office - New York City,QUEENS,001669,NH,MARGARET TIETZ NURSING AND REHABILITATION CENTER,05/05/2020,2,2,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,000557,NH,"PARKVIEW CARE AND REHABILITATION CENTER, INC.",05/05/2020,2,1,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,003872,NH,WHITE OAKS REHABILITATION AND NURSING CENTER,05/05/2020,2,1,1,0
Western Regional Office - Rochester,MONROE,000470,NH,CREEKVIEW NURSING AND REHAB CENTER,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,005710,NH,NASSAU REHABILITATION & NURSING CENTER,05/05/2020,3,0,1,1
Metropolitan Area Regional Office - New Rochelle,ORANGE,002533,NH,MIDDLETOWN PARK REHABILITATION & HEALTH CARE CENTER,05/05/2020,1,2,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001605,NH,AMSTERDAM NURSING HOME CORP (1992),05/05/2020,4,3,0,1
Metropolitan Area Regional Office - Long Island,NASSAU,000547,NH,HIGHFIELD GARDENS CARE CENTER OF GREAT NECK,05/05/2020,1,0,3,0
Metropolitan Area Regional Office - New York City,RICHMOND,001757,NH,GOLDEN GATE REHABILITATION & HEALTH CARE CENTER,05/05/2020,3,2,1,0
Metropolitan Area Regional Office - New York City,QUEENS,001681,NH,FOREST HILLS CARE CENTER,05/05/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,QUEENS,003948,NH,CARING FAMILY NURSING AND REHABILITATION CENTER,05/05/2020,2,1,2,1
Capital District Regional Office,RENSSELAER,000772,NH,DIAMOND HILL NURSING AND REHABILITATION CENTER,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - Long Island,NASSAU,000496,NH,BEACH TERRACE CARE CENTER,05/05/2020,1,0,1,0
Metropolitan Area Regional Office - New York City,QUEENS,001705,NH,DRY HARBOR NURSING HOME,05/05/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,QUEENS,001676,NH,CLIFFSIDE REHABILITATION & RESIDENTIAL HEALTH CARE CENTER,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,007823,NH,PARK AVENUE EXTENDED CARE FACILITY,05/05/2020,4,1,4,0
Western Regional Office - Buffalo,NIAGARA,000586,NH,NEWFANE REHAB & HEALTH CARE CENTER,05/05/2020,6,7,0,6
Metropolitan Area Regional Office - New York City,QUEENS,001670,NH,OZANAM HALL OF QUEENS NURSING HOME INC,05/05/2020,5,5,1,0
Metropolitan Area Regional Office - New York City,QUEENS,004407,NH,SILVERCREST,05/05/2020,3,0,4,0
Metropolitan Area Regional Office - New York City,QUEENS,001702,NH,QUEENS NASSAU REHABILITATION AND NURSING CENTER,05/05/2020,2,0,0,1
Metropolitan Area Regional Office - New York City,QUEENS,007875,NH,REGAL HEIGHTS REHABILITATION AND HEALTH CARE CENTER,05/05/2020,4,3,0,4
Metropolitan Area Regional Office - New Rochelle,ORANGE,003407,NH,SAPPHIRE NURSING AND REHAB AT GOSHEN,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001603,NH,"THE NEW JEWISH HOME, MANHATTAN",05/05/2020,3,4,0,0
Metropolitan Area Regional Office - New York City,QUEENS,001698,NH,PARK TERRACE CARE CENTER,05/05/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,QUEENS,001704,NH,MIDWAY NURSING HOME,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001370,NH,THE RIVERSIDE,05/05/2020,5,8,4,0
Metropolitan Area Regional Office - New York City,QUEENS,004815,NH,NYS VETERANS HOME IN NYC,05/05/2020,4,1,4,3
Metropolitan Area Regional Office - New York City,QUEENS,001673,NH,BRIDGE VIEW NURSING HOME,05/05/2020,2,2,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,000533,NH,BELAIR CARE CENTER INC,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - Long Island,NASSAU,000508,NH,HEMPSTEAD PARK NURSING HOME,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,QUEENS,001731,NH,HORIZON CARE CENTER,05/05/2020,2,0,2,0
Metropolitan Area Regional Office - New York City,QUEENS,007298,NH,THE PAVILION AT QUEENS FOR REHABILITATION & NURSING,05/05/2020,3,1,1,1
Western Regional Office - Rochester,MONROE,004808,NH,EDNA TINA WILSON LIVING CENTER,05/05/2020,3,3,1,0
Western Regional Office - Rochester,MONROE,003164,NH,KIRKHAVEN,05/05/2020,2,1,0,1
Metropolitan Area Regional Office - New York City,QUEENS,006037,NH,UNION PLAZA CARE CENTER,05/05/2020,5,3,1,1
Metropolitan Area Regional Office - Long Island,NASSAU,000520,NH,LYNBROOK RESTORATIVE THERAPY AND NURSING,05/05/2020,1,0,1,0
Western Regional Office - Rochester,MONROE,000463,NH,"THE BRIGHTONIAN, INC",05/05/2020,1,3,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001571,NH,MARY MANNING WALSH NURSING HOME CO INC,05/05/2020,1,1,0,0
Metropolitan Area Regional Office - New York City,NEW YORK,001578,NH,NEW EAST SIDE NURSING HOME,05/05/2020,1,0,2,0
Metropolitan Area Regional Office - New York City,NEW YORK,001606,NH,NEW GOUVERNEUR HOSPITAL SNF,05/05/2020,4,4,1,0
